Cancela/2024-04-21/08:51:38pm/Aberto,
Cancela/2024-04-21/08:51:38pm/Fechado,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:34am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:35am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:36am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:37am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:38am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:39am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:40am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:41am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:42am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
cancela | Data: 2024-06-14 12:00:43am Estado:0.00,
